file, flesch_kincaid_grade, dale_chall_readability_score
data/English Textbook 4 Readability Level/medium/8-genSci-13.tei,7.2,6.3
data/English Textbook 4 Readability Level/medium/8-bdGlobal-3.tei,9.9,9.1
data/English Textbook 4 Readability Level/medium/8-bdGlobal-4.tei,8.4,7.7
data/English Textbook 4 Readability Level/medium/8-bdGlobal-5.tei,10.7,8.81
data/English Textbook 4 Readability Level/medium/8-bdGlobal-6.tei,8.8,7.81
data/English Textbook 4 Readability Level/medium/8-bdGlobal-7.tei,9.2,7.41
data/English Textbook 4 Readability Level/medium/8-bdGlobal-8.tei,8.0,7.31
data/English Textbook 4 Readability Level/medium/8-bdGlobal-9.tei,10.3,7.88
data/English Textbook 4 Readability Level/medium/8-budh-1.tei,6.0,7.23
data/English Textbook 4 Readability Level/medium/8-budh-10.tei,8.0,7.94
data/English Textbook 4 Readability Level/medium/8-budh-11.tei,8.4,7.97
data/English Textbook 4 Readability Level/medium/8-budh-2.tei,6.4,7.63
data/English Textbook 4 Readability Level/medium/8-budh-3.tei,6.4,7.89
data/English Textbook 4 Readability Level/medium/8-budh-4.tei,6.8,7.48
data/English Textbook 4 Readability Level/medium/8-budh-5.tei,8.0,7.7
data/English Textbook 4 Readability Level/medium/8-budh-6.tei,8.4,7.88
