file, flesch_kincaid_grade, dale_chall_readability_score
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1013).txt,-0.6,1.9
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1015).txt,-4.2,1.45
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1016).txt,2.1,2.25
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1017).txt,-3.0,1.61
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1018).txt,-2.8,1.63
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1019).txt,0.2,2.0
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (102).txt,-0.3,1.95
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1020).txt,-1.9,1.74
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1021).txt,-4.3,1.44
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1022).txt,-2.3,1.7
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1023).txt,-2.7,1.64
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1024).txt,4.4,2.54
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1025).txt,2.9,2.36
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1026).txt,3.3,2.4
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1027).txt,-3.0,1.6
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1028).txt,-2.1,1.71
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1029).txt,6.5,2.81
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (103).txt,1.1,2.12
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1030).txt,-0.6,1.91
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1032).txt,-0.1,1.97
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1033).txt,-5.0,1.34
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1034).txt,-5.2,1.32
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1035).txt,0.9,2.1
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1036).txt,-0.8,1.88
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1037).txt,0.9,2.1
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1038).txt,3.0,2.36
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (1039).txt,0.6,2.05
data/Vietnamese_by_catalog/Difficult/tcdcs/tcdcs (104).txt,-2.7,1.64
