10,A,26.0,1, B,13.8,5,A B
10,A,9.0,1,A ,14.333333333333334,3,A B
10,A,8.0,1,A ,20.666666666666668,3, B
10,A,12.0,1,A ,10.0,1,A 
10,A,8.0,1,A ,16.0,3, B
10,A,9.0,1,A ,20.666666666666668,3,A B
10,A,10.0,1, B,12.0,8,A B
10,A,4.0,1,A ,13.0,1,A 
10,A,14.0,1,A ,20.0,1, B
10,A,9.0,1,A ,16.0,2, B
10,A,4.0,1,A ,15.5,2, B
10,A,14.0,1, B,15.0,2, B
10,A,7.0,1,A ,21.0,2, B
10,A,19.0,1, B,17.0,1,A 
10,A,11.0,1,A ,14.0,1,A 
10,A,13.0,1, B,20.0,1, B
10,A,10.0,1,A ,12.333333333333334,3,A B
10,A,6.0,1,A ,15.333333333333334,3,A B
10,A,8.0,1,A ,12.4,5,A B
10,A,18.0,1, B,17.0,1, B
10,A,5.0,1,A ,17.5,2, B
10,A,7.0,1,A ,19.2,10,A B
10,A,20.0,1, B,13.75,4,A B
10,A,4.0,1,A ,21.0,1, B
10,A,5.0,1,A ,14.666666666666666,3,A B
10,A,18.0,1, B,16.0,1, B
10,A,11.0,1,A ,27.0,2, B
10,A,16.0,1, B,17.0,2, B
10,A,8.0,1,A ,15.0,1, B
10,A,6.0,1,A ,16.5,2, B
10,A,16.0,1, B,15.5,4, B
10,A,5.0,1,A ,14.0,1, B
10,A,9.0,1,A ,14.666666666666666,21,A B
10,A,15.0,1, B,18.333333333333332,3, B
10,A,4.0,1,A ,14.0,1, B
10,A,8.0,1,A ,15.0,1, B
10,A,4.0,1,A ,15.0,3,A B
10,A,6.0,1,A ,14.0,1, B
10,A,6.0,1,A ,20.333333333333332,3, B
10,A,4.0,1,A ,13.0,3,A B
10,A,12.0,2,A B,21.0,2, B
10,A,17.0,1, B,14.5,4,A B
10,A,4.0,1,A ,15.909090909090908,11, B
10,A,21.0,1, B,14.2,5,A 
10,A,4.0,1,A ,14.5,2,A 
10,A,12.0,1,A ,19.0,1, B
10,A,7.0,1,A ,16.0,1, B
10,A,4.0,1,A ,16.0,1, B
10,A,10.5,2,A ,18.857142857142858,7, B
10,A,9.0,1,A ,14.75,4,A B
10,A,6.5,2,A ,18.0,1, B
10,A,20.0,1, B,12.0,2,A 
10,A,19.0,1, B,18.5,2, B
10,A,4.0,1,A ,20.0,1, B
10,A,11.0,1, B,17.5,2, B
10,A,7.0,1,A ,17.0,1, B
10,A,9.0,1,A ,15.0,1, B
10,A,8.0,1,A ,18.0,1, B
10,A,21.0,1, B,22.0,2, B
10,A,5.0,1,A ,15.0,4, B
10,A,5.0,1,A ,16.333333333333332,6, B
10,A,5.0,1,A ,14.0,2, B
10,A,4.0,1,A ,11.5,2,A B
10,A,9.0,1,A ,16.5,2, B
9,A,8.0,1,A ,14.0,1, B
9,A,5.0,1,A ,15.0,1,A 
9,A,17.0,1, B,13.0,1, B
9,A,8.0,1,A ,13.8,5,A B
9,A,5.0,1,A ,13.5,2,A B
9,A,4.0,1,A ,11.5,2,A B
9,A,9.0,1,A ,19.0,2, B
9,A,4.0,1,A ,15.0,1, B
9,A,6.0,1,A ,14.0,3,A B
9,A,13.0,1,A ,14.0,1,A 
9,A,8.0,1,A ,16.0,2, B
9,A,9.0,1,A ,13.0,1, B
9,A,12.0,1,A ,15.5,4,A B
9,A,19.0,1, B,13.25,4,A B
9,A,13.0,1,A ,18.5,2, B
9,A,13.0,2, B,17.0,2, B
9,A,12.0,1, B,14.0,1, B
